Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,gen_energy_source,gen_is_baseload,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type,Model
DE1_natural_gas_fired_combined_cycle_1,1,0,0,388.0,DE1,Natural Gas Fired Combined Cycle,1,194.0,97.5,8.59,15620,4.31,0.3,2.0,0.178,0.252,0.0,1.0,194.0,2.0,south_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
DE1_natural_gas_fired_combined_cycle_2,1,0,0,1136.0,DE1,Natural Gas Fired Combined Cycle,2,568.0,285.0,9.3,11680,3.37,0.3,2.0,0.626,0.885,0.0,1.0,568.0,2.0,south_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
DE1_natural_gas_fired_combustion_turbine_1,1,0,0,195.2,DE1,Natural Gas Fired Combustion Turbine,1,48.8,8.625,11.4,14960,0.0,0.3,4.0,2.439,2.49,1213.535,1.0,48.8,3.5,south_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
DE1_natural_gas_steam_turbine_1,1,0,0,710.0,DE1,Natural Gas Steam Turbine,1,236.67,46.667,12.0,29550,1.0,0.5,3.0,0.0,0.0,0.0,1.0,236.667,13.7,south_atlantic_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
DE1_petroleum_liquids_1,1,0,0,102.0,DE1,Petroleum Liquids,1,20.4,16.5,23.73,0,0.0,0.18,5.0,5.086,7.112,0.0,1.0,20.4,0.0,south_atlantic_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
IL1_natural_gas_fired_combined_cycle_1,2,0,0,4238.0,IL1,Natural Gas Fired Combined Cycle,1,423.8,95.0,7.3,11331,3.38,0.3,10.0,0.122,0.364,1951.296,1.0,423.8,2.0,east_north_central_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
IL1_natural_gas_fired_combined_cycle_2,2,0,0,195.0,IL1,Natural Gas Fired Combined Cycle,2,195.0,67.0,13.02,15620,4.31,0.3,1.0,0.0,0.0,0.0,1.0,195.0,2.0,east_north_central_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
IL1_natural_gas_fired_combustion_turbine_1,2,0,0,6531.7,IL1,Natural Gas Fired Combustion Turbine,1,96.05,47.997,12.67,10994,0.0,0.3,68.0,2.753,4.563,1572.355,1.0,96.054,3.5,east_north_central_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
IL1_natural_gas_steam_turbine_1,2,0,0,28.2,IL1,Natural Gas Steam Turbine,1,28.2,7.5,18.39,48590,1.0,0.5,1.0,2.295,4.59,0.0,1.0,28.2,13.7,east_north_central_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
IL1_nuclear_1,2,0,0,9014.7,IL1,Nuclear,1,1126.84,396.612,10.34,177000,0.0,0.5,8.0,0.0,0.0,0.0,1.0,1126.838,0.0,east_north_central_uranium,0.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.0,0.0,Nuclear,1
IL1_petroleum_liquids_1,2,0,0,441.7,IL1,Petroleum Liquids,1,10.52,3.212,11.35,0,0.0,0.18,42.0,1.312,2.448,0.0,1.0,10.517,0.0,east_north_central_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
KY3_conventional_steam_coal_1,3,0,0,6728.0,KY3,Conventional Steam Coal,1,448.53,210.933,10.68,57309,1.78,0.5,15.0,0.875,1.037,4961.988,1.0,448.533,16.5,east_south_central_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
KY3_natural_gas_fired_combined_cycle_1,3,0,0,683.0,KY3,Natural Gas Fired Combined Cycle,1,683.0,228.0,6.8,9270,3.42,0.3,1.0,0.0,0.0,0.0,1.0,683.0,2.0,east_south_central_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
KY3_natural_gas_fired_combustion_turbine_1,3,0,0,3865.0,KY3,Natural Gas Fired Combustion Turbine,1,133.28,64.69,12.26,11056,0.0,0.3,29.0,1.331,1.288,1092.718,1.0,133.276,3.5,east_south_central_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
KY3_petroleum_liquids_1,3,0,0,10.8,KY3,Petroleum Liquids,1,1.8,0.2,11.97,0,0.0,0.18,6.0,0.0,0.0,0.0,1.0,1.8,0.0,east_south_central_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
KY4_natural_gas_fired_combustion_turbine_1,4,0,0,950.0,KY4,Natural Gas Fired Combustion Turbine,1,190.0,120.0,12.94,10940,0.0,0.3,5.0,0.0,0.0,0.0,1.0,190.0,3.5,east_south_central_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
KY4_natural_gas_steam_turbine_1,4,0,0,260.0,KY4,Natural Gas Steam Turbine,1,260.0,100.0,10.82,48590,1.0,0.5,1.0,0.0,0.0,0.0,1.0,260.0,13.7,east_south_central_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
MD2_natural_gas_fired_combined_cycle_1,6,0,0,0.0,MD2,Natural Gas Fired Combined Cycle,1,1.0,0.0,6.41,15620,4.31,0.3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,south_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
MD2_natural_gas_fired_combined_cycle_2,6,0,0,2916.6,MD2,Natural Gas Fired Combined Cycle,2,729.15,145.5,7.29,10797,3.49,0.3,4.0,0.407,0.712,2997.01,1.0,729.15,2.0,south_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
MD2_natural_gas_fired_combustion_turbine_1,6,0,0,1836.3,MD2,Natural Gas Fired Combustion Turbine,1,122.42,59.2,12.22,11430,0.0,0.3,15.0,2.338,2.0,1941.272,1.0,122.42,3.5,south_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
